Symbol,Company,Category
UNIPARTS.NS,Uniparts India Ltd.,Small Cap
VESUVIUS.NS,Vesuvius India Ltd.,Small Cap
VIP.NS,VIP Industries Ltd.,Small Cap
WABAG.NS,VA Tech Wabag Ltd.,Small Cap
WESTLIFE.NS,Westlife Foodworld Ltd.,Small Cap
DMART.NS,Avenue Supermarts Ltd.,Small Cap
SUVENPHAR.NS,Suven Pharmaceuticals Ltd.,Small Cap
TATAINVEST.NS,Tata Investment Corporation Ltd.,Small Cap
RESPONIND.NS,Responsive Industries Ltd.,Small Cap
SOLARINDS.NS,Solar Industries India Ltd.,Small Cap
STYRENIX.NS,Styrenix Performance Materials Ltd.,Small Cap
GARFIBRES.NS,Garware Technical Fibres Ltd.,Small Cap
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Small Cap
GODREJIND.NS,Godrej Industries Ltd.,Small Cap
KPIL.NS,Kalpataru Projects International Ltd.,Small Cap
MARKSANS.NS,Marksans Pharma Ltd.,Small Cap
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Small Cap
OLECTRA.NS,Olectra Greentech Ltd.,Small Cap
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Ltd.,Small Cap
RAILTEL.NS,Railtel Corporation of India Ltd.,Small Cap
RPSGVENT.NS,RPSG Ventures Ltd.,Small Cap
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Small Cap
SKIPPER.NS,Skipper Ltd.,Small Cap
SOBHA.NS,Sobha Ltd.,Small Cap
TARSONS.NS,Tarsons Products Ltd.,Small Cap
TEXRAIL.NS,Texmaco Rail & Engineering Ltd.,Small Cap
TVTODAY.NS,TV Today Network Ltd.,Small Cap
ULTRAMARINE.NS,Ultramarine & Pigments Ltd.,Small Cap
VARDHACRLC.NS,Vardhman Acrylics Ltd.,Small Cap
WINDLAS.NS,Windlas Biotech Ltd.,Small Cap
XCHANGING.NS,Xchanging Solutions Ltd.,Small Cap
CRAFTSMAN.NS,Craftsman Automation Ltd.,Small Cap
BIKAJI.NS,Bikaji Foods International Ltd.,Small Cap
DRSDILIP.NS,DRS Dilip Roadlines Ltd.,Small Cap
ELIN.NS,ELIN Electronics Ltd.,Small Cap
FINOPB.NS,Fino Payments Bank Ltd.,Small Cap
GANDHAR.NS,Gandhar Oil Refinery India Ltd.,Small Cap
HARSHA.NS,Harsha Engineers International Ltd.,Small Cap
HOMEFIRST.NS,Home First Finance Company India Ltd.,Small Cap
