Symbol,Company,Category
UBL.NS,United Breweries Ltd.,Mid Cap
VARUNBEV.NS,Varun Beverages Ltd.,Mid Cap
VGUARD.NS,V-Guard Industries Ltd.,Mid Cap
WOCKPHARMA.NS,Wockhardt Ltd.,Mid Cap
YESBANK.NS,Yes Bank Ltd.,Mid Cap
ZYDUSWELL.NS,Zydus Wellness Ltd.,Mid Cap
HONAUT.NS,Honeywell Automation India Ltd.,Mid Cap
ISEC.NS,ICICI Securities Ltd.,Mid Cap
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Mid Cap
KPITTECH.NS,KPIT Technologies Ltd.,Mid Cap
LALPATHLAB.NS,Dr Lal Pathlabs Ltd.,Mid Cap
METROPOLIS.NS,Metropolis Healthcare Ltd.,Mid Cap
NUVAMA.NS,Nuvama Wealth Management Ltd.,Mid Cap
POLICYBZR.NS,PB Fintech Ltd.,Mid Cap
SAPPHIRE.NS,Sapphire Foods India Ltd.,Mid Cap
SCHAEFFLER.NS,Schaeffler India Ltd.,Mid Cap
SUNDRFAST.NS,Sundram Fasteners Ltd.,Mid Cap
TRIDENT.NS,Trident Ltd.,Mid Cap
UTIAMC.NS,UTI Asset Management Co. Ltd.,Mid Cap
VBL.NS,Varun Beverages Ltd.,Mid Cap
VINATIORGA.NS,Vinati Organics Ltd.,Mid Cap
WELCORP.NS,Welspun Corp Ltd.,Mid Cap
WENDT.NS,Wendt India Ltd.,Mid Cap
ZEEL.NS,Zee Entertainment Enterprises Ltd.,Mid Cap
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Mid Cap
FINEORG.NS,Fine Organic Industries Ltd.,Mid Cap
IIFL.NS,IIFL Finance Ltd.,Mid Cap
INDIAMART.NS,Indiamart Intermesh Ltd.,Mid Cap
JSWENERGY.NS,JSW Energy Ltd.,Mid Cap
KANSAINER.NS,Kansai Nerolac Paints Ltd.,Mid Cap
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Mid Cap
NIACL.NS,New India Assurance Co. Ltd.,Mid Cap
PHOENIXLTD.NS,Phoenix Mills Ltd.,Mid Cap
STAR.NS,Star Health and Allied Insurance Co. Ltd.,Mid Cap
